"filename", "language", "XML", "Swift", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\Runner\Base.lproj\Main.storyboard", "XML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\constants\consts_photo.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\constants\screen_size.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\data\models\product_model.dart", "Dart", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 5, 10, 91
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\data\models\user_address_model.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\helper_function\validators.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 5, 42
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\style\app_color.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 10
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\style\font.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 7, 8, 28
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\style\styles.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 67, 1, 131
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\utils\app_images.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 49, 26, 102
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\widgets\bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 4, 7, 106
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\widgets\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\widgets\custom_elevated_button.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 2, 33
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\widgets\custom_text_field.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 45
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\widgets\item_cart.dart", "Dart", 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 10, 14, 311
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\widgets\show_error_or_warning_dialog.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 3, 2, 67
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\core\widgets\tell_user_to_signin_dialog.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\delete.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 67
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\auth\data\user_info_model.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 9, 47
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\auth\presintation\admin\cubit\auth_cubit.dart", "Dart", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 111, 53, 342
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\auth\presintation\admin\cubit\auth_state.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 9, 22
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\auth\presintation\views\login_view.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 9, 28
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\auth\presintation\views\widgets\add_phone_number.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 5, 61
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\auth\presintation\views\widgets\custom_auth_button.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 37
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\auth\presintation\views\widgets\flutter_log_in_widget.dart", "Dart", 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 46, 21, 331
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\auth\presintation\views\widgets\pick_image_widget.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 3, 60
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\data\cart_model.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 5, 44
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\data\order_model.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\presintation\admin\cubit\cart_cubit.dart", "Dart", 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 27, 64, 369
